,행정동,연도,전출자수,전입자수,전출_대비_전입_비율
2,고운동,2019,26501.0,47201,178.11025999018906
7,금남면,2019,16493.0,15741,95.4404899048081
13,대평동,2019,7007.0,19373,276.4806621949479
18,도담동,2019,36016.0,36140,100.34429142603287
23,보람동,2019,15487.0,31150,201.1364370116872
28,부강면,2019,8375.0,8243,98.42388059701493
33,새롬동,2019,42600.0,74785,175.55164319248826
37,소담동,2019,25541.0,69201,270.9408402176892
42,소정면,2019,2428.0,1683,69.3163097199341
47,아름동,2019,17614.0,17499,99.34711025320767
52,연기면,2019,4862.0,4461,91.75236528177705
57,연동면,2019,4282.0,3550,82.90518449322747
62,연서면,2019,12437.0,11580,93.10927072445124
67,장군면,2019,11211.0,12294,109.66015520470967
72,전동면,2019,3588.0,3746,104.4035674470457
77,전의면,2019,8217.0,7056,85.87075575027382
82,조치원읍,2019,86543.0,85523,98.8213951446102
87,종촌동,2019,23831.0,26331,110.4905375351433
92,한솔동,2019,15313.0,15617,101.98524129824331
