,행정동,연도,전출자수,전입자수,전출_대비_전입_비율
3,고운동,2020,33356.0,34904,104.64084422592637
8,금남면,2020,20766.0,20517,98.8009245882693
14,대평동,2020,13225.0,13487,101.98109640831758
19,도담동,2020,43572.0,72697,166.84338566051593
24,보람동,2020,18608.0,19075,102.50967325881342
29,부강면,2020,9880.0,9673,97.90485829959515
34,새롬동,2020,58662.0,70752,120.6095939449729
38,소담동,2020,32594.0,39621,121.55918267165735
43,소정면,2020,2271.0,1471,64.77322765301629
48,아름동,2020,21651.0,19910,91.95880097916955
53,연기면,2020,4930.0,5781,117.26166328600405
58,연동면,2020,4478.0,4632,103.43903528360876
63,연서면,2020,14285.0,12476,87.33636681834092
68,장군면,2020,13739.0,16376,119.19353664749981
73,전동면,2020,5233.0,4192,80.10701318555323
78,전의면,2020,8924.0,7440,83.37068579112506
83,조치원읍,2020,104721.0,101837,97.24601560336514
88,종촌동,2020,27461.0,27054,98.51789811004697
93,한솔동,2020,18938.0,18389,97.10106663850459
